id,aligned,n_revisions,human_explanation,llm_explanation,human_n_explanation,llm_n_explanation,human_n_statements,llm_n_statements,human_statement_char_length,human_statement_token_length,llm_statement_char_length,llm_statement_token_length,human_explanation_char_length,human_explanation_token_length,llm_explanation_char_length,llm_explanation_token_length,human_explanation_avg_char_length,human_explanation_avg_token_length,llm_explanation_avg_char_length,llm_explanation_avg_token_length,source,errant_error_type
wiki_dev_510,"Dickenson fashioned an airframe to fit on a Rogallo airfoil {=>,} where the pilot sat on a swinging seat {=>,} while the control frame and wire bracing {distributes=>distribute} the load to the wing {=>,} as well as giving a frame to push / pull for weight-shift control .",4,"- Commas were inserted before and after the phrase (where the pilot sat on a swinging seat) in order to denote that the information within these commas is not essential to the meaning of the sentence.
- ""Distributes"" was changed to ""distribute"" since the verb form must agree with the nouns (control frame and wire bracing).
- A comma was inserted before ""as well as"" to convey that the information after the comma is less essential to the sentence.","- Added commas to separate clauses and improve readability.
- Changed 'distributes' to 'distribute' to agree with the plural subject 'control frame and wire bracing'.",explanation_2,explanation_1,3,2,"[198, 121, 122]","[38, 26, 25]","[57, 104]","[9, 22]",441,89,161,31,147.0,29.666666666666668,80.5,15.5,wiki,"['M:PUNCT', 'M:PUNCT', 'R:VERB:SVA', 'M:PUNCT']"
fce_dev_546,I am {writting=>writing to} you {for complaining=>to complain} about {the=>} last {saturday=>Saturday} evening {=>'s} performance in your {theatre=>theater} .,6,"- The correct spelling of the word is ""writing,"" and the preposition ""to"" was added.
- The phrase ""for complaining"" was changed to ""to complain"" because we use the form of to + infinitive to express intention.
- The word 'the' was removed. The article 'the' is not necessary here since we are referring to a specific day of the week.
- The word Saturday was capitalized because days of the week are capitalized in English, and an apostrophe was added.
- The word ""theatre"" was changed to ""theater"" because the predominant spelling in American English has the -er ending.","- ""Writting"" was corrected to ""writing"" for proper spelling.
- ""For complaining"" was changed to ""to complain"" to use the correct preposition.
- ""The"" was removed as it is unnecessary in this context.
- ""Saturday"" was capitalized to follow proper noun capitalization rules.
- ""Evening's"" was added to show possession of the performance.
- ""Theatre"" was changed to ""theater"" to follow American English spelling conventions.",explanation_1,explanation_2,5,6,"[82, 122, 121, 115, 116]","[20, 26, 29, 21, 23]","[58, 78, 55, 70, 60, 83]","[13, 17, 13, 12, 13, 16]",556,119,404,84,111.2,23.8,67.33333333333333,14.0,fce,"['R:SPELL', 'M:PREP', 'R:PART', 'R:VERB:FORM', 'U:DET', 'R:ORTH', 'M:NOUN:POSS', 'R:MORPH']"
fce_dev_235,"When I went to buy the ticket {=>,} I tried to get a discount with my student card , but that was not {posible=>possible} .",2,"- A comma was inserted after ""ticket"" because adverbial phrases at the front of sentences require a comma.
- The misspelled ""posible"" was corrected to ""possible.""","- The addition of a comma after ""ticket"" sets off the introductory phrase.
- ""Posible"" is misspelled and should be corrected to ""possible.""",explanation_1,explanation_2,2,2,"[104, 53]","[20, 12]","[72, 62]","[15, 14]",157,32,134,29,78.5,16.0,67.0,14.5,fce,"['M:PUNCT', 'R:SPELL']"
wiki_dev_868,"These boats were regarded as well built by the German Navy , having good timber , {and were=>being} fitted with a {machinegun=>machine gun,} and {carried=>carrying} 25 soldiers .",3,"- A space was added to ""machinegun"" since the spelling of the term is ""machine gun,"" which is two separate words.
- ""Being"" and ""carrying"" were used in order to agree with the tense of the other verbs in the sentence.","- ""Were"" was removed to improve conciseness and fluency.
- ""Machine gun"" was changed to two words, as it is the correct spelling.
- ""Carried"" was changed to ""carrying"" to match the present tense of the rest of the sentence.",explanation_2,explanation_1,2,3,"[111, 101]","[26, 24]","[54, 70, 91]","[11, 17, 21]",212,50,215,49,106.0,25.0,71.66666666666667,16.333333333333332,wiki,"['R:OTHER', 'R:SPELL', 'M:NOUN', 'R:VERB:FORM']"
fce_dev_807,It started {fourty five=>forty-five} minutes later .,1,"- Spelling of ""forty"" corrected.
- Hyphen added to ""forty-five."" A hyphen is typically used between the tens and ones place in numbers.","- The original sentence misspelled ""forty-five"" as ""fourty five.""",explanation_2,explanation_1,2,1,"[30, 100]","[7, 23]",[63],[15],130,30,63,15,65.0,15.0,63.0,15.0,fce,['R:OTHER']
wiki_dev_805,"Although the most common fur color is black and white , some skunks are {broan=>brown} or grey , and a few are cream-colored .",1,"- The misspelling ""broan"" was corrected to ""brown.""",- 'broan' is a misspelling of 'brown'.,explanation_1,explanation_2,1,1,[49],[12],[36],[11],49,12,36,11,49.0,12.0,36.0,11.0,wiki,['R:SPELL']
wiki_test_24,{is=>Is} a feature film score soundtrack featuring music conducted by John Powell from the CGI animated motion picture based on the book .,1,"- ""Is"" was capitalized because it is the first word of the sentence.",- The capitalization of the first word was corrected to adhere to standard capitalization rules.,explanation_2,explanation_1,1,1,[66],[15],[94],[15],66,15,94,15,66.0,15.0,94.0,15.0,wiki,['R:ORTH']
wiki_test_190,"At his peak , the 6 ft 9 in ( 208 cm ) Ferrigno 's contest weight was 455 lb ( 200 kg ) {=>,} and he was the tallest professional bodybuilder at that time .",1,- The comma is inserted because it is necessary before conjunction and independent clause.,"- A comma was added after ""kg"" to separate the two independent clauses in the sentence.",explanation_2,explanation_1,1,1,[88],[14],[85],[18],88,14,85,18,88.0,14.0,85.0,18.0,wiki,['M:PUNCT']
wiki_test_947,"The volcanic craters are now occupied by lakes , one of which is said to be home to a monster similar to Nessie , named Chan , but until today nobody had ever seen it , and for businesses there are some photographs about this monster on sale in this {town.The=>town . The} volcanoes are arranged the way you had some special light effects showing that geographical area is a by-pass for UFO that also just a few people from this town has seen .",1,- A space was added after the period in keeping with writing style guidelines.,- A period was added to separate the two sentences.,explanation_2,explanation_1,1,1,[76],[14],[49],[10],76,14,49,10,76.0,14.0,49.0,10.0,wiki,['R:ORTH']
wiki_dev_234,"This air engine is being manufactured by CQFD Air {solution=>Solution} , a company closely linked to MDI .",1,"- This is a capitalization error. ""Solution"" is part of the proper noun, which should always be capitalized.",- 'Solution' should be capitalized because it is part of the company's name.,explanation_2,explanation_1,1,1,[106],[22],[74],[16],106,22,74,16,106.0,22.0,74.0,16.0,wiki,['R:ORTH']
fce_test_220,"{Firstly=>First} , there was a different actor instead of the famous actor , Danny Brook .",1,"- ""Firstly"" was replaced with ""First"" for conciseness.","- ""Firstly"" is not commonly used in American English, so it was changed to ""First.""",explanation_1,explanation_2,1,1,[52],[12],[81],[20],52,12,81,20,52.0,12.0,81.0,20.0,fce,['R:MORPH']
fce_dev_291,"It 's like {, ,=>} walking in the clouds {, ,=>;} you feel like {flaing=>you 're flying} .",3,"- The commas were deleted because they interrupted the clause, causing it to be incomplete.
- The commas were substituted for a semicolon because it was a comma splice.","- The repetition of commas ("", ,"") is replaced with a semicolon to properly join the two independent clauses.
- ""Flaing"" is corrected to ""you're flying"" to use proper spelling and grammar.",explanation_1,explanation_2,2,2,"[89, 74]","[16, 14]","[107, 76]","[23, 18]",163,30,183,41,81.5,15.0,91.5,20.5,fce,"['U:PUNCT', 'R:PUNCT', 'M:PRON', 'R:VERB']"
fce_test_818,"So {=>as} you can see {that=>,} it was not a so perfect evening for me {then=>as} I thought .",3,"- ""You can see that"" was replaced with ""as you can see."" This divides the sentence into smaller parts rather than having one, longer sentence.
- ""Then"" replaced with ""as."" This is the correct preposition in this context.","- ""So"" was changed to ""as"" to indicate a causal relationship between the two parts of the sentence.
- ""That"" was removed as it is not needed in this context.
- ""Then"" was changed to ""as"" to maintain consistency with the previous change and to improve fluency.
- A comma was added after ""see"" to separate the introductory phrase from the main clause.
- ""So perfect"" was changed to ""perfect"" as ""so"" is not needed in this context.",explanation_2,explanation_1,2,5,"[140, 75]","[31, 18]","[97, 55, 99, 87, 76]","[22, 14, 21, 18, 21]",215,49,414,96,107.5,24.5,82.8,19.2,fce,"['M:PREP', 'R:OTHER', 'R:OTHER']"
wiki_test_443,"Many believe her to be the only diesel on this narrow gauge railway , but in fact she was n't {=>,} according to a book published by the Rev .",1,"- The following is a parenthetical, so this comma sets it off.","- A comma was added to separate the clause ""according to a book published by the Rev."" from the main clause.",explanation_1,explanation_2,1,1,[60],[13],[106],[23],60,13,106,23,60.0,13.0,106.0,23.0,wiki,['M:PUNCT']
wiki_dev_101,"In the season 2012 / 2013 {=>,} he was on loan in FC Wohlen when {=>he} scored 7 goals .",2,"- A comma was inserted after 2013 in order to indicate the end of the introductory clause. An introductory clause must be followed by a comma if it is four words or more.
- ""He"" was inserted because a subject was needed to complete the phrase.","- A comma was added before the conjunction ""when"" to adhere to grammar rules.
- ""Scored"" was added before ""7 goals"" to complete the sentence and make it more clear.",explanation_1,explanation_2,2,2,"[168, 70]","[34, 15]","[75, 84]","[16, 20]",238,49,159,36,119.0,24.5,79.5,18.0,wiki,"['M:PUNCT', 'M:PRON']"
wiki_test_668,"Roy and HG {continualy=>continually} disparaged the official mascots as "" Syd , Olly {=>,} and Dickhead "" in their {televisionb=>television} program .",3,"- The correct spelling of the word is ""continually.""
- A comma was inserted before ""and"" since we usually add commas before the last element in a list.
- ""televisionb"" was changed to ""television"" since this is the correct spelling of the word.","- ""Continualy"" was changed to ""continually"" to correct the spelling error.
- A comma was added before ""and"" to separate the last two items in the list.
- ""Televisionb"" was corrected to ""television"" to fix the spelling error.",explanation_2,explanation_1,3,3,"[50, 96, 89]","[11, 21, 19]","[72, 74, 70]","[15, 18, 15]",235,51,216,48,78.33333333333333,17.0,72.0,16.0,wiki,"['R:SPELL', 'M:PUNCT', 'R:SPELL']"
fce_test_713,I am {writting=>writing} in response {of it=>to this} .,2,"- This edit corrects the spelling of 'writing.'
- This edit replaces 'of it,' which is not standard nor natural sounding, with 'to this,' which is.","- Corrects the spelling of 'writing.'
- Replaces the vague 'it' with the more specific 'this.'",explanation_2,explanation_1,2,2,"[45, 97]","[10, 25]","[35, 54]","[8, 14]",142,35,89,22,71.0,17.5,44.5,11.0,fce,"['R:SPELL', 'R:PREP', 'R:PRON']"
fce_test_382,"Realistic stories {=>,} thus , develop our imagination and creativity , which are essential in our lives .",1,"- A comma was inserted before the adverb ""thus"" to separate this nonessential word from the main clause. Since the adverb was added in the middle of the sentence, it was set off with a pair of commas.","- A comma is added after ""Realistic stories"" to separate the introductory phrase from the main clause.
- The position of ""thus"" is correct and does not need to be changed.",explanation_1,explanation_2,1,2,[198],[42],"[100, 66]","[19, 16]",198,42,166,35,198.0,42.0,83.0,17.5,fce,['M:PUNCT']
wiki_dev_856,"In Tantric Buddhism ( Vajrayana ) {=>,} the vajra and ghanta ( bell ) are used in many rites by {lama=>Lama} .",2,"- A comma is typically placed after phrases starting with ""in"" when they occur at the beginning of a sentence.
- Proper title ""Lama"" capitalized.","- A comma is added after the introductory phrase to separate it from the main clause.
- ""Lama"" is capitalized because it is a title and should be treated as a proper noun.",explanation_2,explanation_1,2,2,"[108, 32]","[22, 7]","[83, 83]","[16, 19]",140,29,166,35,70.0,14.5,83.0,17.5,wiki,"['M:PUNCT', 'R:ORTH']"
wiki_dev_434,"As of the {census2=>census} of 2000 , there are 1,930 people , 598 households , and 528 families residing in the village .",1,"- ""census2"" corrected to ""census.""","- The number ""2"" after ""census"" was removed as it is not a part of the official name of the census and is likely a typo.",explanation_2,explanation_1,1,1,[32],[9],[118],[30],32,9,118,30,32.0,9.0,118.0,30.0,wiki,['R:NOUN']
fce_test_559,"Lastly , it could be nice to students who are interested in arts , if you help special events , for instance {,=>:} song contest , writing competition {=>,} or dance lessons .",2,"- The comma is substituted with the colon to introduce a list of examples.
- The comma is inserted as a style edit use of the Oxford comma.","- A colon is used to introduce a list of examples.
- A comma was inserted before the final item in the list to maintain parallel structure.",explanation_1,explanation_2,2,2,"[72, 62]","[14, 14]","[48, 86]","[11, 16]",134,28,134,27,67.0,14.0,67.0,13.5,fce,"['R:PUNCT', 'M:PUNCT']"
fce_dev_399,"People buy and buy unnecessary things {=>,} but {,=>} when they {arrives in their houses=>arrive home} , they {can=>} see an empty wallet .",4,"- The comma was inserted because it is necessary before a conjunction and independent clause.
- The comma was deleted because it should not follow a conjunction before an independent clause.
- The verb form is changed to fulfill the subject-verb agreement with ""they.""
- The phrase, ""in their houses,"" is replaced with ""home"" to improve conciseness and fluency.
- The modal verb was deleted to improve conciseness.","- A comma is inserted to separate the two clauses joined by the coordinating conjunction 'but'.
- 'Arrives in their houses' is changed to 'arrive home' for fluency and to use a more common expression.
- 'Can' is deleted because the verb 'see' already implies the ability to do so.",explanation_2,explanation_1,5,3,"[91, 94, 75, 90, 50]","[15, 16, 17, 21, 9]","[93, 102, 77]","[18, 23, 19]",400,78,272,60,80.0,15.6,90.66666666666669,20.0,fce,"['R:WO', 'R:VERB:SVA', 'R:OTHER', 'U:VERB:TENSE']"
fce_test_6,"First {point=>of all ,} we will use more often new technologies like {telecommunication or=>telecommunications and the} internet .",2,"- The word ""point"" was replaced with ""of all"" to create the commonly used phrase ""First of all."" This edit improves fluency.","-  'First point' is not an idiomatic expression, so it was changed to 'first of all.'
-  'Telecommunication' was changed to 'telecommunications' to match the plural form of 'new technologies.' 'Internet' was also capitalized.",explanation_2,explanation_1,1,2,[122],[29],"[83, 137]","[22, 28]",122,29,220,50,122.0,29.0,110.0,25.0,fce,"['R:OTHER', 'R:NOUN:NUM', 'R:CONJ', 'M:DET']"
wiki_test_547,"Bacon is defined as any {of=>} certain cuts of meat taken from the sides , back {=>,} or belly of a pig that is cured and possibly smoked .",2,"- A comma was inserted after ""back."" In American English, all the items in a list should be separated by a comma.
- ""Of"" was removed because it is not needed to show a relationship between words in this instance.","- The word ""of"" is unnecessary and can be removed for smoother phrasing.
- A comma is needed before the conjunction ""or"" to separate items in a list of three or more.",explanation_1,explanation_2,2,2,"[111, 96]","[26, 20]","[70, 91]","[15, 21]",207,46,161,36,103.5,23.0,80.5,18.0,wiki,"['U:PREP', 'M:PUNCT']"
fce_dev_98,"It was a very pleasant surprise to win a trip to California {=>,} and I very much appreciate it .",1,- A comma was added to mark that both of the connected clauses are independent.,- A comma is needed to join two independent clauses.,explanation_2,explanation_1,1,1,[77],[15],[50],[10],77,15,50,10,77.0,15.0,50.0,10.0,fce,['M:PUNCT']
wiki_test_385,"The first was assisted by Beckham just before the half {=>,} with the latter 2 provided by rookies Sean Franklin and Ely Allen .",1,- A comma was inserted to separate a clause with extraneous information.,"- A comma was added after ""half"" to separate the phrase and avoid confusion.",explanation_1,explanation_2,1,1,[70],[12],[74],[16],70,12,74,16,70.0,12.0,74.0,16.0,wiki,['M:PUNCT']
fce_dev_773,"New fabrics create new textures {, all kind=>. All kinds} of {accesories=>accessories} are added to create new versions , to refresh old ideas , {=>and} to make new proposals that will last {, like=>. Like} always , {=>they last} just some weeks .",5,"- "", all kind"" was changed to "". All kinds"" to complete the first clause and to fix the spelling error.
- ""accessories"" fixes a spelling error.
- ""and"" was added because an ""and"" is needed before the last item in a list in English.
- "", like"" was changed to "". Like"" to separate the two clauses.
- ""they last"" was added because ""just some weeks"" needs to refer to something.","- A period was inserted after ""new textures"" to properly separate two independent clauses.
- ""All kind"" was changed to ""all kinds"" to agree with the plural noun ""accessories.""
- ""Accesories"" was corrected to ""accessories.""
- The conjunction ""and"" was inserted to properly connect the three added clauses.
- ""Like always"" was changed to ""they last just some weeks"" to properly convey the meaning of the sentence.",explanation_1,explanation_2,5,5,"[101, 37, 85, 61, 76]","[25, 8, 22, 17, 18]","[88, 82, 44, 79, 104]","[16, 21, 10, 15, 23]",360,90,397,85,72.0,18.0,79.4,17.0,fce,"['R:PUNCT', 'R:NOUN:NUM', 'R:SPELL', 'M:CONJ', 'R:PUNCT', 'M:OTHER']"
fce_dev_387,"Before I go on {holiday=>vacation ,} I use {=>the} internet to book or get details from {=>a} travel agency , which means I {could=>} save {my=>} time and {physical=>} energy .",6,"- ""holiday"" changed to ""vacation"" to match American English conventions.
- A comma is usually placed after phrases specifying time or place when they are at the beginning of a sentence.
- Typically, ""the"" is added before the word ""internet.""
- Typically noun phrases like ""travel agency"" require an article like ""a"" or ""the"" before them.
- ""could"" removed for conciseness.
- ""my"" removed for conciseness.","- ""Holiday"" was changed to ""vacation"" to match American English usage. 
- ""The"" was added before ""internet"" to specify a specific internet. 
- ""A"" was added before ""travel agency"" to specify an indefinite travel agency. 
- ""Could"" was removed as it implies possibility rather than certainty. 
- ""My"" was removed as it is unnecessary and redundant. 
- ""Physical"" was removed as it is redundant with ""energy"". ",explanation_2,explanation_1,6,6,"[70, 110, 53, 93, 32, 29]","[14, 21, 14, 22, 7, 7]","[69, 66, 77, 69, 53, 57]","[15, 15, 17, 13, 12, 14]",387,85,391,86,64.5,14.166666666666666,65.16666666666667,14.333333333333334,fce,"['R:OTHER', 'M:DET', 'M:DET', 'U:VERB:TENSE', 'U:DET', 'U:ADJ']"
wiki_dev_206,"In 2010 , Peter Huljich admitted responsibility for "" lapses "" in investment practice {=>,} where he topped up the company 's KiwiSaver fund with money from Huljich family funds to make up for losses incurred in order to retain the fund 's {favourable=>favorable} market performance figures .",2,"- A comma was inserted before ""where"" because the clause introduced by the relative pronoun ""where"" provides extra information, and the main clause can stand alone.
- -The spelling of the word ""favourable"" was changed to ""favorable"" to reflect American English spelling.","- A comma is needed here to separate the introductory clause from the main clause.
- 'Favorable' is the American spelling, while 'favourable' is the British spelling. Since this text is likely to be read by an international audience, it's better to use the American spelling to avoid confusion.",explanation_2,explanation_1,2,2,"[162, 103]","[31, 20]","[80, 209]","[15, 42]",265,51,289,57,132.5,25.5,144.5,28.5,wiki,"['M:PUNCT', 'R:ADJ']"
wiki_test_709,"When the Los Alamos lab was first being {organised=>organized ,} a {descision=>decision} was made by Oppenheimer to not compartmentalize the technical information among different departments .",2,"- ""Organised"" was substituted for ""organized"" to follow American English spelling conventions.
- The correct spelling is ""decision.""","- 'Organized' is the correct spelling in American English.
- 'Decision' was misspelled.",explanation_1,explanation_2,2,2,"[92, 35]","[16, 8]","[56, 26]","[11, 6]",127,24,82,17,63.5,12.0,41.0,8.5,wiki,"['R:MORPH', 'M:PUNCT', 'R:SPELL']"
fce_dev_17,I {=>especially} liked that {especially=>} .,2,"- The adverb ""especially"" was moved from the end of the sentence to before the verb. This is a stylistic preference because either position in the sentence is grammatically acceptable.","- The adverb ""especially"" is moved to its correct position before the verb ""liked.""
- The word ""especially"" is not necessary at the end of the sentence, so it was removed.",explanation_2,explanation_1,1,2,[182],[33],"[81, 85]","[18, 20]",182,33,166,38,182.0,33.0,83.0,19.0,fce,['R:WO']
wiki_test_594,"Bückeburg is also home to a {Helicopter Museum=>helicopter museum} , which features the early drawings of flying objects by Leonardo da Vinci as well as 40 actual helicopters .",1,"- The phrase ""helicopter museum"" was decapitalized since the term being used in this context refers to a common noun, and common nouns do not need to be capitalized.","- ""Helicopter Museum"" was corrected to lowercase as it is not a proper noun.",explanation_1,explanation_2,1,1,[163],[32],[74],[16],163,32,74,16,163.0,32.0,74.0,16.0,wiki,['R:ORTH']
wiki_test_158,"In addition , Jeffrey proceeded to outdo a gang of bullies , sit on the doorstep of a mysterious , reclusive , and notoriously ill-tempered neighbor called Finsterwald , untie Cobbles ' Knot , and stand up honestly to a black boy nicknamed Mars Bar , who covered his own fear by frightening all other {children.mars bar=>children . Mars Bar} was {stuttled=>startled} to see {=>a} maniac running on the {rail rode=>railroad} tracks .",4,"- A space is added after the period to separate the two complete sentences.
- This is a capitalization error. ""Mars Bar"" is a name and should be capitalized.
- The correct spelling is ""startled.""
- The determiner is inserted because ""maniac"" is a singular noun, and singular nouns require a determiner.
- The correct spelling of the compound noun is ""railroad.""","- The sentence was incomplete and missing a period at the end, so a period was added.
- ""Mars Bar"" was capitalized and ""startled"" was corrected from ""stuttled.""
- ""children.mars bar"" was separated into two words and ""a"" was added before ""maniac."" 
- ""rail rode"" was corrected to ""railroad.""",explanation_1,explanation_2,5,4,"[73, 79, 35, 104, 56]","[14, 18, 8, 20, 12]","[83, 72, 84, 40]","[18, 17, 20, 11]",347,72,279,66,69.4,14.4,69.75,16.5,wiki,"['R:ORTH', 'R:SPELL', 'M:DET', 'R:OTHER']"
fce_test_538,"I let this pass and I bought it anyway , thinking that {was posible that=>} it was only a mistake in your advertisement .",1,"- ""was posible that"" was removed to make the sentence grammatical.","- ""Posible"" is misspelled and should be corrected to ""possible.""
- ""That"" was added to improve the sentence's fluency and grammar.",explanation_1,explanation_2,1,2,[64],[13],"[62, 63]","[14, 14]",64,13,125,28,64.0,13.0,62.5,14.0,fce,['U:OTHER']
fce_dev_103,Famous people {diserve=>deserve} also to have a private life .,1,"- Spelling of ""deserve"" corrected.","- ""Diserve"" is a misspelling of ""deserve.""",explanation_2,explanation_1,1,1,[32],[7],[40],[11],32,7,40,11,32.0,7.0,40.0,11.0,fce,['R:SPELL']
wiki_dev_131,{and=>And} to increase the quality of life for its members .,1,- This is a capitalization error. Words that start a sentence should be capitalized.,- The first word of a sentence should be capitalized.,explanation_1,explanation_2,1,1,[82],[15],[51],[10],82,15,51,10,82.0,15.0,51.0,10.0,wiki,['R:ORTH']
wiki_test_405,"Later on {=>,} they did the same in {=>the} 4x100 freestyle relay where Kromowidjojo , who suffered from an elbow injury , was replaced by Hinkelien Schreuder .",2,"- A comma was added after the introductory phrase ""later on.""
- The definite article ""the"" was included before the name of the freestyle relay to denote that it is one specific race.","- A comma was added to separate the introductory phrase ""Later on.""
- The definite article ""the"" was added before ""4x100 freestyle relay"" to make it clear which relay is being referred to.",explanation_1,explanation_2,2,2,"[59, 118]","[13, 24]","[65, 118]","[14, 25]",177,37,183,39,88.5,18.5,91.5,19.5,wiki,"['M:PUNCT', 'M:DET']"
fce_test_760,"After {=>the} show {=>,} we went immediately to the {tickets=>ticket} office {=>to ask} for {asking=>our} money back , but they were {to=>too} strict and {close-minded=>closed-minded} .",7,"- This edit adds a necessary article for 'show,' specifically a definite article because it is a particular show.
- This edits adds a comma after this introductory phrase.
- In English, compound nouns are formed using the singular form of the noun in question. Although it is an 'office' that sells 'tickets,' in English, it is  a 'ticket office' instead of a 'tickets office.'
- These two edits correct this phrasing to the grammatical 'to ask for.' It also adds the possessive article 'our,' since this can be assumed by the context and because the noun needs an article.
- This edit corrects to the intended 'too.'
- This edit corrects  the spelling to 'closed-minded.'","- The article 'the' was added before 'show' to make the sentence more clear.
- A comma was added after the introductory phrase.
- The word 'tickets' was singularized to 'ticket' to match the intended meaning.
- 'Asking' was changed to 'our' to make the sentence more clear.
- 'To' was changed to 'too' to match the intended meaning.
- 'Close-minded' was changed to 'closed-minded' to match standard spelling.",explanation_1,explanation_2,6,6,"[111, 55, 203, 193, 41, 52]","[22, 10, 49, 41, 10, 13]","[74, 48, 78, 62, 56, 73]","[18, 9, 17, 16, 15, 18]",655,145,391,93,109.16666666666669,24.166666666666668,65.16666666666667,15.5,fce,"['M:DET', 'M:PUNCT', 'R:NOUN:NUM', 'R:PART', 'R:OTHER', 'R:SPELL', 'R:ADJ']"
wiki_dev_180,"Published in 1847 , it has become a classic of English literature {,=>} and has given rise to many adaptations , including several films , television {=>,} and radio {dramatisations=>dramatizations} , a musical , and a hit song by Kate Bush .",3,"- Unnecessary comma removed after ""literature.""
- In American English, an ""Oxford"" comma is typically added before the last item in a list.
- Changing of ""dramatizations"" changed to reflect American English convention.","- The comma after ""English literature"" was removed to eliminate a comma splice.
- A comma was added after ""television"" to separate it from the following item in the list.
- ""Dramatisations"" was changed to ""dramatizations"" to adhere to American English spelling conventions.",explanation_2,explanation_1,3,3,"[45, 89, 76]","[8, 20, 12]","[77, 88, 100]","[15, 19, 17]",210,40,265,51,70.0,13.333333333333334,88.33333333333333,17.0,wiki,"['U:PUNCT', 'M:PUNCT', 'R:MORPH']"
wiki_dev_711,"The lucrative {Mediterrenean=>Mediterranean} trade in spices , silk {=>,} and other luxuries from Africa and Asia were shipped on {the=>} galleys {of the=>to} the powerful city-states of Genoa , Venice {=>,} and Florence , making them phenomenally rich .",5,"- ""Mediterrenean"" should be spelled ""Mediterranean.""
- A comma was added before a conjunction joining two clauses.
- An Oxford comma has been added.","- The spelling of 'Mediterranean' is corrected.
- A comma is added after 'silk' to separate items in a list.
- The definite article 'the' is removed before 'galleys' to improve fluency.
- The preposition 'of' is changed to 'to' to reflect the correct meaning and improve fluency.
- A comma is added after 'Venice' to separate items in a list.",explanation_2,explanation_1,3,5,"[50, 59, 31]","[10, 11, 7]","[45, 58, 74, 91, 60]","[9, 15, 16, 20, 15]",140,28,328,75,46.66666666666666,9.333333333333334,65.6,15.0,wiki,"['R:SPELL', 'M:PUNCT', 'U:DET', 'R:PREP', 'U:DET', 'M:PUNCT']"
wiki_dev_555,Already passed the {membercount=>member count} of Miljöpartiet ( The Green Party ) .,1,"- ""member count"" consists of two separate words, so a space was added.","- ""Member count"" should be two separate words.",explanation_1,explanation_2,1,1,[68],[16],[44],[10],68,16,44,10,68.0,16.0,44.0,10.0,wiki,['R:ORTH']
fce_test_734,"One day {=>,} while all their friends were there and talking , Pat told everyone that Pandora had done a robbery .",1,"- A comma was inserted after the introductory phrase ""one day"" since we use commas after introductory elements.","- The addition of a comma after ""One day"" improves the sentence's clarity and readability by separating the introductory phrase from the main clause.",explanation_1,explanation_2,1,1,[109],[20],[147],[27],109,20,147,27,109.0,20.0,147.0,27.0,fce,['M:PUNCT']
wiki_dev_289,The chemical process enables {to convert=>conversion of} raw material into final product under given pressure and temperature .,1,"- ""To convert"" is substituted for ""conversion of"" to improve fluency.","-  The phrase ""enables to convert"" is not grammatically correct. The verb ""enables"" should be followed by a gerund (a noun form of a verb), which is ""conversion."" 
-  The change in sentence structure makes it more concise and easier to read. ",explanation_2,explanation_1,1,2,[67],[15],"[161, 76]","[39, 15]",67,15,237,54,67.0,15.0,118.5,27.0,wiki,['R:OTHER']
wiki_dev_420,"These were first used around the early 1700s when they themselves underwent several variations {=>,} including the Stewart Oberlin iron stove that was smaller and had its own chimney .",1,- A comma was inserted in this sentence in order to convey that the information in the clause that comes afterward adds additional information but is not essential to understanding the meaning of the sentence.,"- A comma was added to separate the introductory phrase from the main clause.
- No changes were made to grammar or fluency, only the addition of a necessary comma.",explanation_1,explanation_2,1,2,[207],[35],"[75, 83]","[14, 17]",207,35,158,31,207.0,35.0,79.0,15.5,wiki,['M:PUNCT']
wiki_test_702,"Since then she {did n't make=>hadn't made} any {appearences=>appearances} until the March 13 edition of TNA {=>,} where she attacked Roxxi Laveaux and Gail Kim , thus turning heel .",3,"- ""hadn't made"" is the correct form for this construction.
- ""appearances"" is the correct spelling.
- A comma was added before the relative clause.","- The past perfect tense ""hadn't made"" was used to show that the action of not making appearances occurred before the March 13 edition of TNA.
- ""Appearances"" was corrected to its correct spelling.
- A comma was added to separate the introductory clause from the main clause.",explanation_1,explanation_2,3,3,"[56, 38, 45]","[13, 8, 9]","[140, 52, 75]","[29, 10, 14]",139,30,267,53,46.333333333333336,10.0,89.0,17.666666666666668,wiki,"['R:OTHER', 'R:SPELL', 'M:PUNCT']"
wiki_test_309,"The Reds lost the war {=>,} and the Whites were the winners .",1,- A comma was inserted to separate the two independent clauses.,- The original sentence is a run-on sentence without proper punctuation. The revised sentence adds a comma to separate the two independent clauses.,explanation_2,explanation_1,1,1,[61],[11],[145],[26],61,11,145,26,61.0,11.0,145.0,26.0,wiki,['M:PUNCT']
fce_dev_46,"I just send an e-mail {=>,} and that is all !",1,- A comma was inserted as the two clauses are complete and independent.,- The original sentence is missing a comma before the coordinating conjunction 'and' to separate two independent clauses.,explanation_2,explanation_1,1,1,[69],[13],[119],[20],69,13,119,20,69.0,13.0,119.0,20.0,fce,['M:PUNCT']
